Model,MDO4014B-3
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.2
Horizontal Delay,0.8
Sample Interval,2e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-2.000000e-01,-0.02
-1.999800e-01,-0.04
-1.999600e-01,-0.02
-1.999400e-01,-0.02
-1.999200e-01,-0.02
-1.999000e-01,-0.02
-1.998800e-01,-0.02
-1.998600e-01,-0.02
-1.998400e-01,-0.02
-1.998200e-01,-0.02
-1.998000e-01,-0.02
-1.997800e-01,-0.02
-1.997600e-01,-0.02
-1.997400e-01,-0.02
-1.997200e-01,-0.02
-1.997000e-01,-0.02
-1.996800e-01,-0.02
-1.996600e-01,-0.02
-1.996400e-01,0
-1.996200e-01,0
-1.996000e-01,-0.02
-1.995800e-01,-0.02
-1.995600e-01,-0.02
-1.995400e-01,-0.02
-1.995200e-01,-0.02
-1.995000e-01,-0.02
-1.994800e-01,0
-1.994600e-01,-0.02
-1.994400e-01,-0.02
-1.994200e-01,-0.02
-1.994000e-01,-0.02
-1.993800e-01,-0.02
-1.993600e-01,-0.02
-1.993400e-01,-0.04
-1.993200e-01,-0.02
-1.993000e-01,-0.02
-1.992800e-01,-0.02
-1.992600e-01,-0.02
-1.992400e-01,-0.02
-1.992200e-01,-0.02
-1.992000e-01,-0.02
-1.991800e-01,-0.02
-1.991600e-01,-0.06
-1.991400e-01,-0.04
-1.991200e-01,-0.06
-1.991000e-01,-0.04
-1.990800e-01,-0.04
-1.990600e-01,-0.04
-1.990400e-01,-0.02
-1.990200e-01,-0.04
-1.990000e-01,-0.02
-1.989800e-01,-0.02
-1.989600e-01,-0.02
-1.989400e-01,-0.02
-1.989200e-01,-0.02
-1.989000e-01,-0.02
-1.988800e-01,-0.02
-1.988600e-01,-0.02
-1.988400e-01,-0.02
-1.988200e-01,-0.02
-1.988000e-01,-0.02
-1.987800e-01,-0.02
-1.987600e-01,-0.02
-1.987400e-01,-0.02
-1.987200e-01,-0.02
-1.987000e-01,-0.02
-1.986800e-01,-0.02
-1.986600e-01,-0.02
-1.986400e-01,-0.02
-1.986200e-01,-0.02
-1.986000e-01,-0.02
-1.985800e-01,0
-1.985600e-01,0
-1.985400e-01,-0.02
-1.985200e-01,-0.02
-1.985000e-01,-0.02
-1.984800e-01,-0.02
-1.984600e-01,-0.02
-1.984400e-01,-0.02
-1.984200e-01,-0.02
-1.984000e-01,-0.02
-1.983800e-01,-0.04
-1.983600e-01,-0.02
-1.983400e-01,-0.04
-1.983200e-01,-0.02
-1.983000e-01,0
-1.982800e-01,-0.02
-1.982600e-01,-0.02
-1.982400e-01,-0.02
-1.982200e-01,-0.02
-1.982000e-01,-0.02
-1.981800e-01,-0.02
-1.981600e-01,-0.02
-1.981400e-01,-0.02
-1.981200e-01,-0.02
-1.981000e-01,-0.04
-1.980800e-01,-0.02
-1.980600e-01,-0.02
-1.980400e-01,-0.02
-1.980200e-01,-0.02
-1.980000e-01,-0.02
-1.979800e-01,0
-1.979600e-01,-0.02
-1.979400e-01,0
-1.979200e-01,-0.02
-1.979000e-01,-0.02
-1.978800e-01,-0.04
-1.978600e-01,-0.02
-1.978400e-01,-0.02
-1.978200e-01,-0.02
-1.978000e-01,-0.02
-1.977800e-01,-0.02
-1.977600e-01,-0.02
-1.977400e-01,-0.02
-1.977200e-01,-0.02
-1.977000e-01,-0.02
-1.976800e-01,-0.02
-1.976600e-01,-0.02
-1.976400e-01,-0.02
-1.976200e-01,-0.02
-1.976000e-01,-0.02
-1.975800e-01,-0.02
-1.975600e-01,-0.02
-1.975400e-01,-0.02
-1.975200e-01,-0.02
-1.975000e-01,-0.02
-1.974800e-01,-0.02
-1.974600e-01,-0.02
-1.974400e-01,-0.02
-1.974200e-01,0.02
-1.974000e-01,-0.02
-1.973800e-01,-0.02
-1.973600e-01,-0.02
-1.973400e-01,-0.02
-1.973200e-01,-0.02
-1.973000e-01,-0.02
-1.972800e-01,-0.02
-1.972600e-01,0
-1.972400e-01,-0.02
-1.972200e-01,-0.02
-1.972000e-01,-0.04
-1.971800e-01,-0.02
-1.971600e-01,-0.04
-1.971400e-01,-0.02
-1.971200e-01,-0.02
-1.971000e-01,-0.02
-1.970800e-01,-0.02
-1.970600e-01,-0.02
-1.970400e-01,-0.02
-1.970200e-01,-0.02
-1.970000e-01,-0.02
-1.969800e-01,-0.02
-1.969600e-01,-0.02
-1.969400e-01,-0.02
-1.969200e-01,0
-1.969000e-01,-0.02
-1.968800e-01,-0.04
-1.968600e-01,0
-1.968400e-01,-0.02
-1.968200e-01,0
-1.968000e-01,0
-1.967800e-01,-0.02
-1.967600e-01,0
-1.967400e-01,-0.02
-1.967200e-01,0
-1.967000e-01,0
-1.966800e-01,0
-1.966600e-01,0
-1.966400e-01,-0.02
-1.966200e-01,0
-1.966000e-01,-0.02
-1.965800e-01,-0.02
-1.965600e-01,0
-1.965400e-01,-0.02
-1.965200e-01,0
-1.965000e-01,0
-1.964800e-01,-0.02
-1.964600e-01,-0.02
-1.964400e-01,0
-1.964200e-01,0
-1.964000e-01,0
-1.963800e-01,0
-1.963600e-01,0
-1.963400e-01,0
-1.963200e-01,-0.02
-1.963000e-01,0
-1.962800e-01,0
-1.962600e-01,-0.02
-1.962400e-01,0
-1.962200e-01,0
-1.962000e-01,0
-1.961800e-01,0
-1.961600e-01,0
-1.961400e-01,0
-1.961200e-01,0
-1.961000e-01,0
-1.960800e-01,0
-1.960600e-01,0
-1.960400e-01,0
-1.960200e-01,0
-1.960000e-01,0
-1.959800e-01,0
-1.959600e-01,0
-1.959400e-01,0
-1.959200e-01,0
-1.959000e-01,0
-1.958800e-01,0
-1.958600e-01,0
-1.958400e-01,0
-1.958200e-01,-0.02
-1.958000e-01,0
-1.957800e-01,0
-1.957600e-01,0
-1.957400e-01,0
-1.957200e-01,0
-1.957000e-01,0.02
-1.956800e-01,-0.02
-1.956600e-01,0
-1.956400e-01,0
-1.956200e-01,0
-1.956000e-01,0
-1.955800e-01,0
-1.955600e-01,0
-1.955400e-01,0
-1.955200e-01,0
-1.955000e-01,-0.02
-1.954800e-01,-0.02
-1.954600e-01,-0.02
-1.954400e-01,0
-1.954200e-01,-0.02
-1.954000e-01,-0.02
-1.953800e-01,-0.02
-1.953600e-01,-0.02
-1.953400e-01,-0.02
-1.953200e-01,-0.02
-1.953000e-01,-0.02
-1.952800e-01,-0.02
-1.952600e-01,-0.02
-1.952400e-01,0
-1.952200e-01,0
-1.952000e-01,0
-1.951800e-01,-0.02
-1.951600e-01,-0.02
-1.951400e-01,-0.02
-1.951200e-01,-0.02
-1.951000e-01,0
-1.950800e-01,-0.02
-1.950600e-01,0
-1.950400e-01,-0.02
-1.950200e-01,-0.02
-1.950000e-01,-0.02
-1.949800e-01,-0.02
-1.949600e-01,-0.02
-1.949400e-01,0
-1.949200e-01,0.02
-1.949000e-01,0
-1.948800e-01,0
-1.948600e-01,-0.02
-1.948400e-01,0
-1.948200e-01,0
-1.948000e-01,0
-1.947800e-01,0
-1.947600e-01,-0.02
-1.947400e-01,0
-1.947200e-01,0
-1.947000e-01,0
-1.946800e-01,0
-1.946600e-01,0
-1.946400e-01,0
-1.946200e-01,0.02
-1.946000e-01,0.02
-1.945800e-01,0
-1.945600e-01,0
-1.945400e-01,0.02
-1.945200e-01,0
-1.945000e-01,0
-1.944800e-01,0.02
-1.944600e-01,0.02
-1.944400e-01,0
-1.944200e-01,0
-1.944000e-01,0.02
-1.943800e-01,0
-1.943600e-01,0
-1.943400e-01,0
-1.943200e-01,0
-1.943000e-01,0
-1.942800e-01,0.02
-1.942600e-01,0.02
-1.942400e-01,0.02
-1.942200e-01,0
-1.942000e-01,0
-1.941800e-01,0
-1.941600e-01,0
-1.941400e-01,-0.02
-1.941200e-01,0
-1.941000e-01,-0.02
-1.940800e-01,0
-1.940600e-01,-0.02
-1.940400e-01,-0.02
-1.940200e-01,-0.02
-1.940000e-01,-0.02
-1.939800e-01,-0.02
-1.939600e-01,-0.02
-1.939400e-01,0
-1.939200e-01,0
-1.939000e-01,-0.02
-1.938800e-01,0
-1.938600e-01,-0.02
-1.938400e-01,-0.02
-1.938200e-01,0
-1.938000e-01,0
-1.937800e-01,-0.02
-1.937600e-01,-0.04
-1.937400e-01,-0.02
-1.937200e-01,-0.02
-1.937000e-01,-0.02
-1.936800e-01,-0.02
-1.936600e-01,-0.02
-1.936400e-01,-0.02
-1.936200e-01,-0.02
-1.936000e-01,-0.02
-1.935800e-01,-0.02
-1.935600e-01,-0.02
-1.935400e-01,-0.02
-1.935200e-01,-0.02
-1.935000e-01,-0.04
-1.934800e-01,-0.02
-1.934600e-01,-0.02
-1.934400e-01,-0.02
-1.934200e-01,-0.02
-1.934000e-01,-0.02
-1.933800e-01,-0.02
-1.933600e-01,-0.02
-1.933400e-01,-0.02
-1.933200e-01,-0.02
-1.933000e-01,-0.02
-1.932800e-01,-0.02
-1.932600e-01,-0.02
-1.932400e-01,-0.02
-1.932200e-01,-0.02
-1.932000e-01,-0.02
-1.931800e-01,-0.02
-1.931600e-01,-0.02
-1.931400e-01,-0.02
-1.931200e-01,0
-1.931000e-01,0
-1.930800e-01,0.02
-1.930600e-01,-0.02
-1.930400e-01,-0.02
-1.930200e-01,-0.02
-1.930000e-01,-0.02
-1.929800e-01,-0.02
-1.929600e-01,-0.02
-1.929400e-01,0
-1.929200e-01,-0.02
-1.929000e-01,0
-1.928800e-01,-0.02
-1.928600e-01,-0.02
-1.928400e-01,-0.02
-1.928200e-01,0
-1.928000e-01,0
-1.927800e-01,0
-1.927600e-01,-0.02
-1.927400e-01,0
-1.927200e-01,0
-1.927000e-01,-0.02
-1.926800e-01,-0.02
-1.926600e-01,0
-1.926400e-01,0
-1.926200e-01,0
-1.926000e-01,0
-1.925800e-01,-0.02
-1.925600e-01,-0.02
-1.925400e-01,-0.02
-1.925200e-01,-0.02
-1.925000e-01,-0.02
-1.924800e-01,-0.02
-1.924600e-01,-0.02
-1.924400e-01,-0.02
-1.924200e-01,-0.02
-1.924000e-01,-0.02
-1.923800e-01,-0.02
-1.923600e-01,-0.02
-1.923400e-01,0
-1.923200e-01,-0.02
-1.923000e-01,-0.02
-1.922800e-01,-0.04
-1.922600e-01,-0.04
-1.922400e-01,-0.02
-1.922200e-01,-0.02
-1.922000e-01,-0.02
-1.921800e-01,-0.02
-1.921600e-01,-0.02
-1.921400e-01,0
-1.921200e-01,0
-1.921000e-01,0
-1.920800e-01,-0.02
-1.920600e-01,-0.02
-1.920400e-01,-0.02
-1.920200e-01,0
-1.920000e-01,-0.02
-1.919800e-01,-0.02
-1.919600e-01,-0.02
-1.919400e-01,0
-1.919200e-01,-0.02
-1.919000e-01,-0.02
-1.918800e-01,-0.02
-1.918600e-01,-0.02
-1.918400e-01,-0.02
-1.918200e-01,0
-1.918000e-01,-0.02
-1.917800e-01,0
-1.917600e-01,-0.02
-1.917400e-01,-0.02
-1.917200e-01,-0.02
-1.917000e-01,0
-1.916800e-01,0
-1.916600e-01,0.02
-1.916400e-01,0
-1.916200e-01,0
-1.916000e-01,0
-1.915800e-01,-0.02
-1.915600e-01,-0.02
-1.915400e-01,0
-1.915200e-01,0
-1.915000e-01,-0.02
-1.914800e-01,-0.02
-1.914600e-01,-0.02
-1.914400e-01,-0.02
-1.914200e-01,-0.02
-1.914000e-01,-0.02
-1.913800e-01,0
-1.913600e-01,-0.02
-1.913400e-01,-0.02
-1.913200e-01,-0.02
-1.913000e-01,-0.02
-1.912800e-01,0
-1.912600e-01,0
-1.912400e-01,0
-1.912200e-01,0
-1.912000e-01,-0.02
-1.911800e-01,0
-1.911600e-01,0
-1.911400e-01,0.02
-1.911200e-01,-0.02
-1.911000e-01,0
-1.910800e-01,-0.02
-1.910600e-01,-0.02
-1.910400e-01,-0.02
-1.910200e-01,-0.02
-1.910000e-01,-0.02
-1.909800e-01,0
-1.909600e-01,-0.02
-1.909400e-01,-0.02
-1.909200e-01,0
-1.909000e-01,-0.02
-1.908800e-01,0
-1.908600e-01,0
-1.908400e-01,0
-1.908200e-01,0
-1.908000e-01,0
-1.907800e-01,0
-1.907600e-01,0
-1.907400e-01,0
-1.907200e-01,0
-1.907000e-01,0
-1.906800e-01,0
-1.906600e-01,0
-1.906400e-01,0
-1.906200e-01,0.02
-1.906000e-01,0
-1.905800e-01,0
-1.905600e-01,0
-1.905400e-01,0
-1.905200e-01,0
-1.905000e-01,-0.02
-1.904800e-01,0
-1.904600e-01,0
-1.904400e-01,0
-1.904200e-01,0
-1.904000e-01,0
-1.903800e-01,0
-1.903600e-01,0.02
-1.903400e-01,0
-1.903200e-01,0.02
-1.903000e-01,0.02
-1.902800e-01,0
-1.902600e-01,-0.02
-1.902400e-01,0.02
-1.902200e-01,0
-1.902000e-01,0
-1.901800e-01,0
-1.901600e-01,0
-1.901400e-01,0
-1.901200e-01,0
-1.901000e-01,0
-1.900800e-01,0
-1.900600e-01,-0.02
-1.900400e-01,0
-1.900200e-01,0
-1.900000e-01,0
-1.899800e-01,0
-1.899600e-01,-0.02
-1.899400e-01,-0.02
-1.899200e-01,0
-1.899000e-01,0
-1.898800e-01,0.02
-1.898600e-01,0.02
-1.898400e-01,0
-1.898200e-01,0
-1.898000e-01,0
-1.897800e-01,0
-1.897600e-01,0
-1.897400e-01,-0.02
-1.897200e-01,0
-1.897000e-01,0.02
-1.896800e-01,0
-1.896600e-01,-0.02
-1.896400e-01,-0.02
-1.896200e-01,-0.02
-1.896000e-01,-0.02
-1.895800e-01,-0.02
-1.895600e-01,-0.02
-1.895400e-01,-0.02
-1.895200e-01,0
-1.895000e-01,-0.02
-1.894800e-01,-0.02
-1.894600e-01,0
-1.894400e-01,-0.02
-1.894200e-01,0
-1.894000e-01,-0.02
-1.893800e-01,-0.02
-1.893600e-01,-0.02
-1.893400e-01,-0.02
-1.893200e-01,-0.02
-1.893000e-01,-0.02
-1.892800e-01,-0.02
-1.892600e-01,0
-1.892400e-01,-0.02
-1.892200e-01,-0.02
-1.892000e-01,-0.04
-1.891800e-01,-0.02
-1.891600e-01,-0.02
-1.891400e-01,-0.02
-1.891200e-01,-0.02
-1.891000e-01,-0.02
-1.890800e-01,-0.02
-1.890600e-01,-0.02
-1.890400e-01,-0.02
-1.890200e-01,-0.02
-1.890000e-01,-0.02
-1.889800e-01,-0.02
-1.889600e-01,-0.02
-1.889400e-01,-0.02
-1.889200e-01,-0.02
-1.889000e-01,-0.02
-1.888800e-01,-0.02
-1.888600e-01,0
-1.888400e-01,0
-1.888200e-01,-0.02
-1.888000e-01,-0.02
-1.887800e-01,-0.02
-1.887600e-01,0
-1.887400e-01,-0.02
-1.887200e-01,0
-1.887000e-01,0
-1.886800e-01,-0.02
-1.886600e-01,-0.02
-1.886400e-01,0
-1.886200e-01,0
-1.886000e-01,-0.02
-1.885800e-01,0.02
-1.885600e-01,0
-1.885400e-01,0
-1.885200e-01,0
-1.885000e-01,0
-1.884800e-01,0
-1.884600e-01,0.02
-1.884400e-01,0
-1.884200e-01,0
-1.884000e-01,-0.02
-1.883800e-01,0
-1.883600e-01,0
-1.883400e-01,-0.02
-1.883200e-01,-0.02
-1.883000e-01,0
